Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
GRIP2	KIAA1719	ENSG00000144596	"Glutamate receptor interacting protein 2"	Q9C0E4	3	14489107-14556075	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 13.3;skeletal muscle: 35.8;tongue: 12.5"	"Cell type enhanced"	"Detected in many"		"Horizontal cells: 26.3;Inhibitory neurons: 87.1;Rod photoreceptor cells: 29.0;Skeletal myocytes: 27.7"	"Cancer enhanced"	"Detected in single"		"testis cancer: 0.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 4.9;Rhabdoid: 4.8"	"Heart muscle - Cardiomyocytes, Stomach - Parietal cells, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA035673			Approved	Cytosol		NA	NA				"Cluster 80: Striated muscle - Unknown function"	"Cluster 2: DU4475 - Unknown function"	"Cluster 32: Neurons - Synaptic function"	Cytosol		"HPA035673: AB_10669776"	"unprognostic (1.48e-1)"	"unprognostic (6.26e-3)"	"unprognostic (2.43e-2)"	"unprognostic (3.13e-2)"	"unprognostic (5.51e-2)"	"unprognostic (1.14e-3)"	"unprognostic (1.87e-1)"	"unprognostic (8.19e-2)"	"unprognostic (9.14e-2)"	"unprognostic (2.38e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.54e-1)"	"unprognostic (2.44e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.90e-1)"	"unprognostic (5.82e-1)"	"unprognostic (4.01e-1)"
GSN	DKFZp313L0718	ENSG00000148180	Gelsolin	P06396	9	121207794-121332843	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Cilium biogenesis/degradation"	"Actin capping, Actin-binding"	"Amyloidosis, Cancer-related genes, Corneal dystrophy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 2486.9"	"Cell type enhanced"	"Detected in all"		"Adipocytes: 1480.6;Fibroblasts: 3739.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 1135.9"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Adipocytes (Breast), Colon - Fibroblasts, Lung - Fibroblast_2, Skin - Fibroblast_2, Thyroid - Fibroblasts"	"Region enriched"	"Detected in all"	4	"white matter: 869.2"	"Low region specificity"	"Detected in all"			"CAB010823, CAB016728, CAB036009, HPA054026"	Supported		Supported	"Actin filaments"	"Secreted to blood"	NA	NA	112000000000	240000000000	"Cluster 45: Eosinophils - Innate immune response"	"Cluster 46: Fibroblasts - ECM organization"	"Cluster 22: Rhabdoid cancers - Neuronal signaling"	"Cluster 65: Fibroblasts - ECM organization"	"Actin filaments"		"CAB010823: , CAB016728: , CAB036009: , HPA054026: AB_2682347"	"unprognostic (3.25e-2)"	"unprognostic (4.44e-3)"	"unprognostic (1.22e-1)"	"unprognostic (3.10e-3)"	"unprognostic (4.23e-2)"	"unprognostic (4.85e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.49e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.20e-1)"	"unprognostic (6.54e-2)"	"unprognostic (6.56e-2)"	"unprognostic (3.06e-2)"	"unprognostic (8.01e-3)"	"unprognostic (4.98e-2)"	"unprognostic (1.23e-2)"	"prognostic unfavorable (1.79e-5)"
HACD1	"CAP, PTPLA"	ENSG00000165996	"3-hydroxyacyl-CoA dehydratase 1"	B0YJ81	10	17589032-17617374	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Developmental protein, Lyase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 73.0"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 81.9;Cardiomyocytes: 200.8;Melanocytes: 109.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	11	"T-reg: 55.7"	"Lineage enriched"	"Detected in many"	12	"T-cells: 55.7"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Smooth muscle cells, Prostate - Smooth muscle cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 35: T-regs - Unknown function"	"Cluster 38: Heart - Muscle contraction"	"Cluster 4: Non-specific - Transcription"	"Cluster 15: Smooth muscle cells - Muscle contraction"				"unprognostic (2.73e-2)"	"unprognostic (3.26e-2)"	"unprognostic (3.54e-1)"	"unprognostic (2.62e-2)"	"unprognostic (4.10e-1)"	"unprognostic (5.67e-3)"	"unprognostic (4.21e-2)"	"unprognostic (3.04e-2)"	"unprognostic (2.38e-1)"	"unprognostic (1.70e-2)"	"unprognostic (2.61e-2)"	"unprognostic (3.43e-1)"	"unprognostic (2.46e-2)"	"unprognostic (2.93e-2)"	"unprognostic (3.40e-2)"	"unprognostic (1.10e-1)"	"unprognostic (6.49e-2)"
HADHB	MTPB	ENSG00000138029	"Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"	P55084	2	26243170-26290465	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 793.3;skeletal muscle: 950.6;tongue: 1097.1"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 1288.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA037539, HPA037540, HPA066099"	Enhanced		Supported	Mitochondria		No	No		61000	"Cluster 25: Monocytes - Inflammatory response"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"HPA037539: AB_10671374, HPA037540: AB_2675531, HPA066099: AB_2685618"	"unprognostic (5.15e-2)"	"unprognostic (8.72e-2)"	"unprognostic (8.21e-2)"	"unprognostic (8.67e-2)"	"unprognostic (7.70e-2)"	"unprognostic (2.59e-2)"	"unprognostic (7.29e-2)"	"unprognostic (9.70e-2)"	"unprognostic (2.01e-1)"	"unprognostic (2.09e-1)"	"unprognostic (2.03e-1)"	"unprognostic (8.94e-2)"	"prognostic favorable (1.37e-9)"	"unprognostic (2.47e-1)"	"unprognostic (2.50e-1)"	"unprognostic (2.88e-1)"	"unprognostic (9.68e-2)"
HAND1	"bHLHa27, eHand, Hxt, Thing1"	ENSG00000113196	"Heart and neural crest derivatives expressed 1"	O96004	5	154474972-154478227	"Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 24.3;intestine: 66.1"	"Group enriched"	"Detected in some"	9	"Cardiomyocytes: 15.2;Fibroblasts: 9.8"	"Cancer enriched"	"Detected in some"	5	"testis cancer: 2.8"	"Region enriched"	"Detected in single"	4	"thalamus: 1.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"Neuroblastoma: 85.0;testis cancer: 212.5"	"Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA040925, HPA075313"	Uncertain		Approved	"Nucleoplasm,Nuclear membrane,Nuclear bodies"		NA	NA				"Cluster 37: Intestine - Unknown function"	"Cluster 12: Lymphoid cancers - Adaptive immune response"	"Cluster 53: Connective tissue cells - ECM organization"	Nucleoplasm	"Nuclear membrane, Nuclear bodies"	"HPA040925: AB_10796563, HPA075313: "			"unprognostic (2.37e-2)"					"unprognostic (8.29e-2)"		"unprognostic (2.46e-3)"	"unprognostic (7.23e-2)"				"unprognostic (5.21e-2)"		"unprognostic (6.38e-3)"
HEY2	"bHLHb32, HERP1, HESR2"	ENSG00000135547	"Hes related family bHLH transcription factor with YRPW motif 2"	Q9UBP5	6	125747664-125761269	"Predicted intracellular proteins, Transcription factors, Transporters"	"Notch signaling pathway, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 30.7"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 34.1;Early spermatids: 43.3;Endometrial ciliated cells: 41.3;Glandular and luminal cells: 35.4;Granulosa cells: 70.3;Late spermatids: 79.3;Muller glia cells: 34.3;Smooth muscle cells: 35.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Cardiomyocytes, Prostate - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA030205, HPA074851"	Approved		Approved	"Nuclear bodies,Aggresome"		NA	NA			"Cluster 36: GdT-cells - Adaptive immune response"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 23: B-cell cancers - Adaptive immune response"	"Cluster 17: Granulosa cells - Transcription regulation"	"Nuclear bodies"	Aggresome	"HPA030205: AB_10600712, HPA074851: AB_2686718"	"unprognostic (5.10e-2)"	"unprognostic (4.34e-2)"	"unprognostic (1.41e-3)"	"unprognostic (2.43e-3)"	"unprognostic (1.99e-1)"	"unprognostic (2.52e-3)"	"unprognostic (2.56e-1)"	"unprognostic (1.38e-2)"	"unprognostic (2.01e-1)"	"unprognostic (9.10e-3)"	"unprognostic (7.34e-2)"	"unprognostic (6.20e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.28e-1)"	"unprognostic (6.74e-2)"	"unprognostic (1.51e-3)"	"unprognostic (1.19e-1)"
HRH2		ENSG00000113749	"Histamine receptor H2"	P25021	5	175658030-175710756	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 37.0;heart muscle: 26.3"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 43.4;Excitatory neurons: 61.3;Hofbauer cells: 29.2;Kupffer cells: 52.5;Macrophages: 43.8;monocytes: 48.8;Smooth muscle cells: 32.0"	"Group enriched"	"Detected in many"	5	"melanoma: 2.9;renal cancer: 4.6"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 134.4;neutrophil: 161.7"	"Group enriched"	"Detected in many"	5	"granulocytes: 161.7;monocytes: 51.6"	"Cancer enhanced"	"Detected in some"		"Leukemia: 9.4;Myeloma: 4.9"	"Liver - Neutrophils, Lung - Neutrophil_2, Stomach - Parietal cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA013770	Approved					NA	NA			"Cluster 6: Non-specific - Transcription"	"Cluster 75: Bone marrow - mRNA splicing & Cell cycle"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 33: Macrophages - Degranulation"			"HPA013770: AB_1851086"	"unprognostic (8.56e-3)"	"unprognostic (1.62e-1)"	"unprognostic (6.66e-2)"	"unprognostic (5.96e-2)"	"unprognostic (3.49e-2)"	"unprognostic (1.80e-1)"	"unprognostic (1.20e-1)"	"unprognostic (4.77e-2)"	"unprognostic (9.93e-2)"	"unprognostic (5.76e-2)"	"unprognostic (1.52e-1)"	"unprognostic (2.35e-1)"	"unprognostic (3.71e-3)"	"unprognostic (2.01e-2)"	"unprognostic (1.97e-2)"	"unprognostic (1.97e-3)"	"unprognostic (1.77e-2)"
HTRA3	"Prsp, Tasp"	ENSG00000170801	"HtrA serine peptidase 3"	P83110	4	8269754-8307098	"Enzymes, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 194.9"	"Group enriched"	"Detected in many"	5	"Fibroblasts: 145.2;Leydig cells: 44.7;Peritubular cells: 41.0;Theca cells: 64.5"	"Cancer enhanced"	"Detected in all"		"pancreatic cancer: 67.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 28.8"	"Heart muscle - Fibroblasts, Prostate - Fibroblasts, Stomach - Fibroblasts, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"spinal cord: 10.3"	"HPA021187, HPA063810"	Approved		Approved	Vesicles	"Secreted in other tissues"	NA	NA				"Cluster 46: Fibroblasts - ECM organization"	"Cluster 17: RS4;11 - Unknown function"	"Cluster 65: Fibroblasts - ECM organization"	Vesicles		"HPA021187: AB_1851311, HPA063810: AB_2685129"	"unprognostic (5.87e-2)"	"unprognostic (1.40e-2)"	"unprognostic (2.89e-2)"	"unprognostic (9.32e-2)"	"unprognostic (1.84e-1)"	"unprognostic (3.09e-2)"	"unprognostic (1.12e-3)"	"unprognostic (5.29e-2)"	"unprognostic (3.81e-2)"	"unprognostic (1.15e-1)"	"unprognostic (1.95e-2)"	"unprognostic (2.79e-1)"	"prognostic unfavorable (1.61e-9)"	"unprognostic (1.65e-3)"	"unprognostic (2.56e-2)"	"prognostic unfavorable (1.29e-4)"	"unprognostic (1.34e-2)"
INSYN1	"C15orf59, LOC388135, MGC131524"	ENSG00000205363	"Inhibitory synaptic factor 1"	Q2T9L4	15	73735458-73753351	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 56.6;heart muscle: 48.5"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 8.5;Bipolar cells: 13.1;Cardiomyocytes: 8.3;Excitatory neurons: 4.6;Horizontal cells: 13.5;Inhibitory neurons: 9.6;Muller glia cells: 7.4"	"Cancer enhanced"	"Detected in many"		"glioma: 5.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Cardiomyocytes, Kidney - Intercalated cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA041563	Approved		Approved	Nucleoplasm,Cytosol		No	NA				"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 9: Neurons - Nervous system development"	"Nucleoplasm, Cytosol"		"HPA041563: AB_10794670"	"unprognostic (2.28e-2)"	"unprognostic (2.47e-2)"	"unprognostic (4.85e-2)"	"unprognostic (2.36e-1)"	"unprognostic (1.71e-1)"	"unprognostic (9.36e-2)"	"unprognostic (3.37e-2)"	"unprognostic (1.02e-2)"	"unprognostic (1.60e-1)"	"unprognostic (8.36e-2)"	"unprognostic (2.67e-4)"	"unprognostic (2.67e-2)"	"prognostic favorable (5.38e-9)"	"unprognostic (4.98e-2)"	"unprognostic (5.19e-2)"	"unprognostic (2.46e-4)"	"unprognostic (1.20e-3)"
IRX4		ENSG00000113430	"Iroquois homeobox 4"	P78413	5	1877413-1887236	"Plasma proteins, Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 15.8;heart muscle: 14.3;skin 1: 22.5;vagina: 12.2"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 38.5;Basal squamous epithelial cells: 48.6;Breast myoepithelial cells: 18.9;Salivary duct cells: 20.9;Squamous epithelial cells: 19.2;Suprabasal keratinocytes: 14.6"	"Group enriched"	"Detected in many"	5	"cervical cancer: 5.4;head and neck cancer: 7.3;lung cancer: 1.8;prostate cancer: 6.9;testis cancer: 7.3"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Esophageal cancer: 7.1;head and neck cancer: 8.8;prostate cancer: 5.7"	"Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	12	"medulla oblongata: 1.2;pons: 1.5"	HPA064094			Uncertain	Nucleoplasm,Vesicles		NA	NA				"Cluster 11: Squamous epithelial cells - Epithelial cell function"	"Cluster 6: BEWO - Unknown function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Nucleoplasm, Vesicles"		"HPA064094: "	"unprognostic (1.00e-2)"	"unprognostic (1.00e-1)"			"unprognostic (1.90e-1)"	"unprognostic (3.01e-1)"		"unprognostic (1.35e-2)"	"unprognostic (2.77e-1)"	"unprognostic (1.53e-1)"	"unprognostic (1.35e-1)"	"unprognostic (7.52e-2)"		"unprognostic (7.54e-2)"	"unprognostic (4.26e-1)"		"unprognostic (1.70e-2)"
IRX6	"IRX-3, IRX7"	ENSG00000159387	"Iroquois homeobox 6"	P78412	16	55324203-55330756	"Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 9.8;heart muscle: 9.8;skin 1: 8.9"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 2: 6.1;Bipolar cells: 6.7;Collecting duct cells: 3.9;Hofbauer cells: 3.5;Late spermatids: 5.8"	"Cancer enhanced"	"Detected in many"		"melanoma: 5.9"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"breast cancer: 1.9;cervical cancer: 2.3;Neuroblastoma: 3.7;skin cancer: 4.3;thyroid cancer: 4.9"	"Breast - Adipocytes (Breast), Skin - Sebaceous gland cells, Testis - Late spermatids"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			HPA018332	Uncertain		Approved	Nucleoplasm,Mitochondria		NA	NA				"Cluster 31: Skin - Epidermis development"	"Cluster 29: TT & NCI-H1385 - Synaptic signal transduction"	"Cluster 65: Fibroblasts - ECM organization"	"Nucleoplasm, Mitochondria"		"HPA018332: AB_1851920"	"unprognostic (1.22e-1)"	"unprognostic (1.02e-1)"		"unprognostic (4.93e-4)"	"unprognostic (2.48e-2)"	"unprognostic (6.50e-2)"	"unprognostic (3.46e-1)"	"prognostic favorable (3.34e-4)"	"unprognostic (3.63e-2)"	"unprognostic (4.36e-2)"	"unprognostic (2.93e-2)"	"unprognostic (1.50e-2)"	"unprognostic (2.83e-2)"	"unprognostic (9.63e-3)"	"unprognostic (7.12e-3)"	"unprognostic (5.48e-2)"	"unprognostic (5.23e-3)"
ITGB1BP2	CHORDC3	ENSG00000147166	"Integrin subunit beta 1 binding protein 2"	Q9UKP3	X	71301750-71305371	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 89.4;skeletal muscle: 46.1;tongue: 52.9"	"Cell type enriched"	"Detected in some"	11	"Cardiomyocytes: 112.3"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA040721			Approved	Cytosol		NA	NA			"Cluster 45: Eosinophils - Innate immune response"	"Cluster 38: Heart - Muscle contraction"	"Cluster 52: Spermatids - Smell perception"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Cytosol		"HPA040721: AB_10805827"	"unprognostic (1.87e-1)"	"unprognostic (2.65e-2)"	"unprognostic (6.91e-5)"	"unprognostic (1.95e-2)"	"unprognostic (7.92e-2)"	"unprognostic (1.54e-1)"	"unprognostic (3.81e-2)"	"unprognostic (9.02e-2)"	"unprognostic (4.69e-2)"	"unprognostic (2.15e-2)"	"unprognostic (4.85e-2)"	"unprognostic (3.17e-1)"	"unprognostic (3.08e-11)"	"unprognostic (4.38e-2)"	"unprognostic (3.63e-2)"	"unprognostic (2.99e-1)"	"unprognostic (2.64e-1)"
JPH2	JP-2	ENSG00000149596	"Junctophilin 2"	Q9BR39	20	44106590-44187188	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 85.2;skeletal muscle: 120.4"	"Group enriched"	"Detected in some"	4	"Cardiomyocytes: 70.4;Skeletal myocytes: 67.3;Smooth muscle cells: 23.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"	"Low region specificity"	"Detected in some"							HPA052646	Approved					NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 15: Smooth muscle cells - Muscle contraction"			"HPA052646: AB_2681899"	"unprognostic (1.57e-1)"	"unprognostic (1.82e-2)"	"unprognostic (2.61e-4)"	"unprognostic (4.71e-2)"	"unprognostic (1.48e-1)"	"unprognostic (2.32e-2)"	"unprognostic (1.06e-2)"	"unprognostic (2.45e-3)"	"unprognostic (6.87e-2)"	"unprognostic (9.16e-2)"	"unprognostic (2.57e-2)"	"unprognostic (9.73e-2)"	"unprognostic (4.76e-2)"	"unprognostic (5.45e-2)"	"unprognostic (2.10e-1)"	"unprognostic (2.67e-1)"	"unprognostic (1.10e-2)"
KBTBD12	"FLJ46299, KLHDC6"	ENSG00000187715	"Kelch repeat and BTB domain containing 12"	Q3ZCT8	3	127915232-127987671	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 13.8;skeletal muscle: 58.8;tongue: 25.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 42.1;Early spermatids: 31.2;Excitatory neurons: 29.5;Microglial cells: 72.1"	"Cancer enhanced"	"Detected in some"		"cervical cancer: 1.9"	"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in single"		"basophil: 1.0"	"Lineage enriched"	"Detected in single"	10	"granulocytes: 1.0"	"Not detected"	"Not detected"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Region enriched"	"Detected in some"	5	"cerebellum: 5.1"							NA	NA			"Cluster 17: Basophils - Unknown function"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 54: Lymphoma - Cytokine signaling"	"Cluster 38: Neurons - Neuronal signaling"				"unprognostic (3.60e-2)"	"unprognostic (2.19e-2)"	"unprognostic (3.37e-1)"	"unprognostic (2.19e-1)"	"unprognostic (9.51e-2)"	"unprognostic (3.01e-1)"	"unprognostic (3.35e-2)"	"unprognostic (4.69e-3)"	"unprognostic (3.62e-1)"	"unprognostic (2.08e-1)"	"unprognostic (2.28e-2)"	"unprognostic (1.17e-1)"	"unprognostic (1.37e-2)"	"unprognostic (1.59e-1)"	"unprognostic (9.41e-2)"	"unprognostic (5.70e-2)"	"unprognostic (9.49e-2)"
